friction,human_friction,value_friction,analyst_hrs_wk,exposure,caught,fraud_total,catch_rate,base_rate
66.23917922411029,62.616223148445016,78.55596955624101,30.380000000000003,6427.574439999999,1.8,2,0.9,0.9990043146365748
66.49467913576265,62.62495969042244,81.31273725153108,30.208888888888886,10113.85143,1.8,3,0.6,0.9964343598055105
62.12624584717608,58.27242524916944,74.92674817069114,27.284444444444443,19876.311029999993,5.4,6,0.9,0.9989976612094889
65.57891433950424,61.43708817069344,79.76502306155851,30.457777777777782,8697.969468333333,3.5,5,0.7,0.9973448390308662
65.9846547314578,62.59590792838875,79.16743909108844,30.457777777777782,4538.028679999999,1.8,2,0.9,0.9990189666448659
65.87275693311582,61.85970636215335,78.85725420105852,29.493333333333336,22226.044589999994,4.5,5,0.9,0.9993444772205834
65.9581425768476,61.510791366906474,79.57780679152401,29.26,21475.616974999997,3.6,5,0.72,0.9980269648142058
64.95081967213115,61.24590163934426,78.99290261014443,29.05777777777778,49681.560555,4.4,5,0.8800000000000001,0.9986923831317424
67.36156351791531,63.68078175895766,80.36590943105843,30.41111111111111,46007.189011666655,6.300000000000001,7,0.9000000000000001,0.9963803882856203
64.64273733646428,60.4830593760483,77.77341782942018,28.04666666666667,24456.730225,2.7,4,0.675,0.9986855077226421
65.68561872909699,61.30434782608695,79.1722451577099,28.513333333333335,18217.94355333333,4.5,6,0.75,0.9983638743455497
65.44622425629291,61.45799280810722,78.51475191391786,29.244444444444444,19184.135213333328,1.8,2,0.9,0.9986837775584074
67.17607973421927,63.12292358803987,79.60234773997789,29.555555555555557,16192.172708333328,4.5,5,0.9,0.9977441185949082
66.10169491525424,62.013958125623134,79.31980422223042,29.026666666666667,10352.746626666665,1.8,3,0.6,0.9987257088244664
66.02965403624383,62.075782537067546,78.6996688012709,29.306666666666665,13015.610261666661,4.5,5,0.9,0.9986768111147867
65.76173746406899,61.80134142446503,79.28827738393073,30.1,20214.152341666664,7.200000000000001,8,0.9000000000000001,0.9983260796786073
65.78517793013386,61.60626836434868,79.24068207886796,29.35333333333333,9856.473546666666,3.6,4,0.9,0.9969615124915597
65.82530720690801,61.87313184988376,79.82548287605931,28.980000000000004,21519.66652166666,4.5,5,0.9,0.9983844911147012
65.43007222586999,61.58896913985555,78.17441333314412,29.182222222222222,17241.617146666664,1.8,2,0.9,0.999345977763244
65.61224489795919,61.36054421768708,78.94835074171534,28.06222222222222,24508.425405,3.6,6,0.6,0.9983536384590056
