friction,human_friction,value_friction,analyst_hrs_wk,exposure,caught,fraud_total,catch_rate,base_rate
44.34113497915999,40.71817890349471,61.70486470173566,19.755555555555556,6427.574439999999,1.8,2,0.9,0.9990043146365748
46.17865204772654,42.27668494034182,66.43489431146179,20.39333333333333,10113.85143,1.8,3,0.6,0.9964343598055105
40.23255813953488,36.411960132890364,57.30372461847891,17.048888888888886,19876.311029999993,5.4,6,0.9,0.9989976612094889
43.144022591779105,39.00219642296831,62.69597488140405,19.335555555555555,8697.969468333333,3.5,5,0.7,0.9973448390308662
43.4462915601023,40.02557544757033,61.35187197376255,19.475555555555555,4538.028679999999,1.8,2,0.9,0.9990189666448659
43.3605220228385,39.34747145187602,61.70726587203627,18.759999999999998,22226.044589999994,4.5,5,0.9,0.9993444772205834
43.91759319816874,39.4702419882276,62.7071776409612,18.775555555555556,21475.616974999997,3.6,5,0.72,0.9980269648142058
42.52459016393443,38.81967213114754,60.69173182284535,18.41777777777778,49681.560555,4.4,5,0.8800000000000001,0.9986923831317424
46.48208469055375,42.76872964169381,65.0421083949795,20.424444444444447,46007.189011666655,6.300000000000001,7,0.9000000000000001,0.9963803882856203
44.012076484401206,39.885944313988595,62.09099497363129,18.49555555555556,24456.730225,2.7,4,0.675,0.9986855077226421
45.551839464882946,41.20401337792642,63.773986235264715,19.164444444444445,25103.98560333333,3.6,6,0.6,0.9983638743455497
42.857142857142854,38.901601830663616,60.66159011340094,18.511111111111113,19184.135213333328,1.8,2,0.9,0.9986837775584074
43.72093023255814,39.63455149501661,61.822144486157626,18.55777777777778,16192.172708333328,4.5,5,0.9,0.9977441185949082
43.33665669657694,39.24891990694583,62.04659355447408,18.37111111111111,10352.746626666665,1.8,3,0.6,0.9987257088244664
43.75617792421746,39.80230642504119,61.635744576976016,18.79111111111111,13015.610261666661,4.5,5,0.9,0.9986768111147867
44.23506866815714,40.274672628553176,62.404247830545394,19.615555555555552,20214.152341666664,7.200000000000001,8,0.9000000000000001,0.9983260796786073
44.00914136467515,39.830231798889976,62.09131144780634,18.977777777777778,9856.473546666666,3.6,4,0.9,0.9969615124915597
44.53669877117237,40.65094652939223,62.472606289085036,19.040000000000003,21519.66652166666,4.5,5,0.9,0.9983844911147012
41.7268548916612,37.91858174655285,59.23865760102238,17.966666666666665,17241.617146666664,1.8,2,0.9,0.999345977763244
43.197278911564624,38.945578231292515,61.12217294157308,17.81111111111111,24508.425405,3.6,6,0.6,0.9983536384590056
